Date,ES_Close,NQ_Close,ES_Daily_Return,ES_5D_Fwd_Return,ES_20D_Fwd_Return,ES_60D_Fwd_Return,ES_Realized_Vol_20D,ES_Fwd_Max_DD_60D,ES_Fwd_Max_Upside_60D,ES_Fwd_Sharpe_60D,walcl_3m_pct,liquidity_contraction,liquidity_expansion,HY_OAS,hy_oas_zscore,hy_oas_percentile,credit_regime,VIX,volatility_regime,spx_pos_percentile,Liquidity_State,Liquidity_Status,Credit_State,Credit_Status,Positioning_State,Positioning_Status,Volatility_State,Volatility_Status,Destabilization_Score,Macro_Regime
2010-02-03,1096.5,1785.5,-0.0006837607104005313,-0.030323757409940755,0.0234838121295029,0.07934336525307795,0.15716664035434738,-0.0369357045143639,0.10556315549475603,2.4347944353058555,,False,False,20.59267694709429,-1.2059721828354948,0.5639943741209564,Neutral,24.62,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-04,1061.75,1734.75,-0.03220479866456231,0.013892159171179586,0.07040263715563921,0.12879679773958097,0.19062123739600073,-0.005415587473510675,0.1417471156110195,4.46887248704253,,False,False,21.00718911267549,-0.7567921125139518,0.5926966292134831,Neutral,24.62,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-05,1059.75,1745.0,-0.0018854589606340597,0.018164661476763433,0.07289455060155703,0.10639301722104277,0.188808444009523,-0.0035385704175513455,0.14390186364708657,3.430627620146854,,False,False,21.088501326902854,-0.661306502839308,0.5988779803646563,Neutral,26.11,Stress,,Flat,Normal,Neutral,Normal,Neutral,Normal,Stress,Warning,1,B
2010-02-08,1056.0,1734.5,-0.0035448459665397667,0.035274621212121104,0.08001893939393945,0.10227272727272729,0.18696617450329894,0.0,0.14796401515151514,3.2800165103383336,,False,False,21.24198638108786,-0.4884798035277963,0.6120448179271709,Neutral,26.11,Stress,,Flat,Normal,Neutral,Normal,Neutral,Normal,Stress,Warning,1,B
2010-02-09,1066.25,1752.0,0.009659634539682145,0.031184056271981175,0.07456037514654157,0.05275498241500576,0.19245678649254144,-0.0028135990621336315,0.13692848769050414,1.480733901019099,,False,False,21.117854004620696,-0.6142966506716987,0.6,Neutral,26.11,Stress,,Flat,Normal,Neutral,Normal,Neutral,Normal,Stress,Warning,1,B
2010-02-10,1063.25,1744.75,-0.0028175646721459425,0.03973665647778035,0.08205972254878913,0.04114742534681404,0.19187738755262332,0.0,0.1401363743240065,1.1384941570166298,,False,False,21.283290908959497,-0.42832038631325076,0.6201117318435754,Neutral,26.11,Stress,,Flat,Normal,Neutral,Normal,Neutral,Normal,Stress,Warning,1,B
2010-02-11,1076.5,1775.5,0.012384782670674905,0.02763585694379933,0.0694379934974454,0.07431490942870411,0.19684417882213776,0.0,0.12610311193683232,1.7559741029331772,,False,False,21.233250930990682,-0.47576759187768664,0.6094839609483961,Neutral,26.11,Stress,,Flat,Normal,Neutral,Normal,Neutral,Normal,Stress,Warning,1,B
2010-02-12,1079.0,1783.25,0.0023196484537170484,0.02641334569045406,0.06603336422613526,0.06788693234476373,0.19647151720842462,0.0,0.12349397590361444,1.6064090575862222,,False,False,21.283609735231586,-0.4146509503173501,0.6211699164345403,Neutral,22.73,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-16,1093.25,1799.25,0.013120225034895397,0.0036588154584953347,0.060599131031328524,0.0699748456437228,0.2017313815661796,0.0,0.1088497598902356,1.6481373692322643,,False,False,21.11358548423664,-0.5913903715058311,0.5966620305980529,Neutral,22.73,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-17,1099.5,1811.75,0.005700619701785918,0.0036380172805821065,0.06025466120964085,0.05206912232833116,0.19736307274967813,-0.0020463847203274765,0.10254661209640736,1.2258662178630975,,False,False,20.793912598243296,-0.9302845666718166,0.5736111111111111,Neutral,22.73,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-18,1105.5,1820.75,0.005442190302685036,-0.002939846223428355,0.054726368159204064,0.026910900045228336,0.19654999553374033,-0.007462686567164201,0.0965626413387608,0.62589294190564,,False,False,20.49700557825768,-1.2384780527937729,0.5520110957004161,Neutral,22.73,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-19,1106.25,1819.25,0.000678196024638339,-0.002485875706214724,0.06029374117231634,0.0255367231638417,0.18299369001656907,-0.008135593220338966,0.09581920903954799,0.594286630351623,,False,False,20.403900193518314,-1.3236408879945287,0.5401662049861495,Neutral,20.02,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-22,1107.5,1821.0,0.001129305597151487,0.006320541760722387,0.049209932279909774,0.010158013544018019,0.1702632228090472,-0.009255079006772027,0.0945823927765237,0.23500632557331724,,False,False,20.383445493111136,-1.329613365156037,0.5380359612724758,Neutral,20.02,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-23,1097.25,1801.0,-0.009298173350947339,0.018455228981544725,0.06584643426748693,0.011619958988380086,0.17391994127093977,0.0,0.1048074732285258,0.2690802769084437,,False,False,20.668541198699046,-1.0113103009038884,0.5621546961325967,Neutral,20.02,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-24,1103.5,1814.0,0.0056798971284477435,0.013593112822836373,0.0552786588128682,-0.03035795197100133,0.17388156618324824,-0.03035795197100133,0.0985500679655642,-0.6635566906102869,,False,False,20.682558703269567,-0.9859665526525377,0.5627586206896552,Neutral,20.02,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-25,1102.25,1813.5,-0.0011334014587440955,0.018144704014515733,0.05488772964391009,-0.01610342481288274,0.1725657503298329,-0.029258335223406706,0.09979587207983664,-0.34574472713215565,,False,False,20.64842597772466,-1.0116104975024842,0.559228650137741,Neutral,20.02,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-02-26,1103.5,1818.5,0.0011334014587441768,0.029904848210240198,0.054372451291345714,-0.029451744449478956,0.16398275917959715,-0.03035795197100133,0.0985500679655642,-0.6316400392131902,,False,False,20.645024893445974,-1.0045920315569474,0.5584594222833562,Neutral,19.5,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
2010-03-01,1114.5,1842.75,0.0099189271291324,0.020188425302826385,0.048676536563481365,-0.037236428891879725,0.1629962974489817,-0.03992821893225662,0.0877074921489458,-0.8063447825814207,,False,False,20.66032501333738,-0.9777998609706913,0.5604395604395604,Neutral,19.5,Normal,,Flat,Normal,Neutral,Normal,Neutral,Normal,Normal,Normal,0,A
